date,Pro-Choice,Pro-Life,day
2022-05-05,0.94601152562936,0.0539884743706399,1
2022-05-06,0.938096095015296,0.0619039049847039,2
2022-05-07,0.9318355884605566,0.0681644115394434,3
2022-05-08,0.9383301707779886,0.0616698292220113,4
2022-05-09,0.9303512458721104,0.0696487541278895,5
2022-05-10,0.9156553398058253,0.0843446601941747,6
2022-05-11,0.9224778761061948,0.0775221238938053,7
2022-05-12,0.9143321153065368,0.0856678846934632,8
2022-05-13,0.9100908656145384,0.0899091343854615,9
2022-05-14,0.9490655917918652,0.0509344082081348,10
2022-05-15,0.9542709232096636,0.0457290767903365,11
2022-05-16,0.912396694214876,0.0876033057851239,12
2022-05-17,0.9148657498362804,0.0851342501637197,13
2022-05-18,0.8902616279069767,0.1097383720930232,14
2022-05-19,0.9023494860499266,0.0976505139500734,15
2022-05-20,0.8899416909620991,0.1100583090379008,16
2022-05-21,0.9006479481641468,0.0993520518358531,17
2022-05-22,0.8921465968586387,0.1078534031413612,18
2022-05-23,0.9019980970504282,0.0980019029495718,19
2022-05-24,0.865979381443299,0.134020618556701,20
2022-05-25,0.7525050100200401,0.2474949899799599,21
2022-05-26,0.8030660377358491,0.1969339622641509,22
2022-05-27,0.824,0.176,23
2022-05-28,0.8028455284552846,0.1971544715447154,24
2022-05-29,0.8154205607476636,0.1845794392523364,25
2022-05-30,0.8057553956834532,0.1942446043165467,26
2022-05-31,0.800453514739229,0.1995464852607709,27
2022-06-01,0.8458149779735683,0.1541850220264317,28
2022-06-02,0.832183908045977,0.167816091954023,29
2022-06-03,0.8337730870712401,0.1662269129287599,30
2022-06-04,0.8405797101449275,0.1594202898550724,31
2022-06-05,0.8133333333333334,0.1866666666666666,32
2022-06-06,0.8137535816618912,0.1862464183381088,33
2022-06-07,0.835,0.165,34
2022-06-08,0.8184523809523809,0.181547619047619,35
2022-06-09,0.8388059701492537,0.1611940298507462,36
2022-06-10,0.8184931506849316,0.1815068493150685,37
2022-06-11,0.804,0.196,38
2022-06-12,0.7983539094650206,0.2016460905349794,39
2022-06-13,0.7637795275590551,0.2362204724409448,40
2022-06-14,0.7804878048780488,0.2195121951219512,41
2022-06-15,0.8211382113821138,0.1788617886178861,42
2022-06-16,0.8129496402877698,0.1870503597122302,43
2022-06-17,0.8217821782178217,0.1782178217821782,44
2022-06-18,0.8472727272727273,0.1527272727272727,45
2022-06-19,0.7920792079207921,0.2079207920792079,46
2022-06-20,0.7695167286245354,0.2304832713754646,47
2022-06-21,0.7854545454545454,0.2145454545454545,48
2022-06-22,0.7900355871886121,0.2099644128113879,49
2022-06-23,0.7823529411764706,0.2176470588235294,50
2022-06-24,0.9320345557122708,0.0679654442877292,51
2022-06-25,0.9568676716917924,0.0431323283082077,52
2022-06-26,0.9562552077133676,0.0437447922866325,53
2022-06-27,0.9539928333759918,0.0460071666240081,54
2022-06-28,0.9526319697082188,0.0473680302917811,55
2022-06-29,0.9474890204315448,0.0525109795684552,56
2022-06-30,0.94299395735948,0.0570060426405198,57
2022-07-01,0.9409022556390978,0.0590977443609022,58
2022-07-02,0.9396184478607148,0.060381552139285,59
2022-07-03,0.9550540489285037,0.0449459510714963,60
2022-07-04,0.956881113100978,0.0431188868990219,61
2022-07-05,0.9555080975262502,0.0444919024737497,62
2022-07-06,0.9310761789600968,0.0689238210399032,63
2022-07-07,0.92990264255911,0.0700973574408901,64
2022-07-08,0.9415148609779482,0.0584851390220517,65
2022-07-09,0.931656027037176,0.0683439729628238,66
2022-07-10,0.9288720538720538,0.0711279461279461,67
2022-07-11,0.9164795689268074,0.0835204310731926,68
2022-07-12,0.9127584467977812,0.0872415532022188,69
2022-07-13,0.9214517876489708,0.0785482123510292,70
2022-07-14,0.9241803278688524,0.0758196721311475,71
2022-07-15,0.9175384615384616,0.0824615384615384,72
2022-07-16,0.9169435215946844,0.0830564784053156,73
2022-07-17,0.8998242530755711,0.1001757469244288,74
2022-07-18,0.8995918367346939,0.1004081632653061,75
2022-07-19,0.9213740458015268,0.0786259541984732,76
2022-07-20,0.9173947577442416,0.0826052422557585,77
2022-07-21,0.9209486166007904,0.0790513833992094,78
2022-07-22,0.8940520446096655,0.1059479553903345,79
2022-07-23,0.9070034443168772,0.0929965556831228,80
2022-07-24,0.9075723830734966,0.0924276169265033,81
2022-07-25,0.923702950152594,0.0762970498474059,82
2022-07-26,0.907859078590786,0.0921409214092141,83
2022-07-27,0.9062209842154132,0.0937790157845868,84
2022-07-28,0.9075875486381324,0.0924124513618677,85
2022-07-29,0.9245283018867924,0.0754716981132075,86
2022-07-30,0.9319429198682766,0.0680570801317233,87
2022-07-31,0.9203187250996016,0.0796812749003984,88
2022-08-01,0.9315789473684212,0.0684210526315789,89
2022-08-02,0.9133409350057012,0.0866590649942987,90
2022-08-03,0.9297777777777778,0.0702222222222222,91
2022-08-04,0.9046511627906976,0.0953488372093023,92
2022-08-05,0.9030898876404494,0.0969101123595505,93
2022-08-06,0.9124087591240876,0.0875912408759124,94
2022-08-07,0.8872053872053872,0.1127946127946128,95
2022-08-08,0.8885542168674698,0.1114457831325301,96
2022-08-09,0.8945086705202312,0.1054913294797687,97
2022-08-10,0.9149305555555556,0.0850694444444444,98
2022-08-11,0.892416225749559,0.1075837742504409,99
2022-08-12,0.8904847396768402,0.1095152603231597,100
2022-08-13,0.8772321428571429,0.1227678571428571,101
2022-08-14,0.8828996282527881,0.1171003717472119,102
2022-08-15,0.8682505399568035,0.1317494600431965,103
2022-08-16,0.90072202166065,0.0992779783393501,104
2022-08-17,0.8880866425992779,0.111913357400722,105
2022-08-18,0.8932038834951457,0.1067961165048543,106
2022-08-19,0.9038854805725972,0.0961145194274028,107
2022-08-20,0.8961038961038961,0.1038961038961039,108
2022-08-21,0.8739255014326648,0.1260744985673352,109
2022-08-22,0.8888888888888888,0.1111111111111111,110
2022-08-23,0.8870967741935484,0.1129032258064516,111
2022-08-24,0.8746987951807229,0.1253012048192771,112
2022-08-25,0.8837772397094431,0.1162227602905569,113
